Country/Region;Date;Confirmed;Recovered;Mes;Año
Afghanistan;22/01/2020;0;0;1;2020
Albania;22/01/2020;0;0;1;2020
Algeria;22/01/2020;0;0;1;2020
Andorra;22/01/2020;0;0;1;2020
Angola;22/01/2020;0;0;1;2020
Antigua and Barbuda;22/01/2020;0;0;1;2020
Argentina;22/01/2020;0;0;1;2020
Armenia;22/01/2020;0;0;1;2020
Australia;22/01/2020;0;0;1;2020
Australia;22/01/2020;0;0;1;2020
Australia;22/01/2020;0;0;1;2020
Australia;22/01/2020;0;0;1;2020
Australia;22/01/2020;0;0;1;2020
Australia;22/01/2020;0;0;1;2020
Australia;22/01/2020;0;0;1;2020
Australia;22/01/2020;0;0;1;2020
Austria;22/01/2020;0;0;1;2020
Azerbaijan;22/01/2020;0;0;1;2020
Bahamas;22/01/2020;0;0;1;2020
Bahrain;22/01/2020;0;0;1;2020
Bangladesh;22/01/2020;0;0;1;2020
Barbados;22/01/2020;0;0;1;2020
Belarus;22/01/2020;0;0;1;2020
Belgium;22/01/2020;0;0;1;2020
Benin;22/01/2020;0;0;1;2020
Bhutan;22/01/2020;0;0;1;2020
Bolivia;22/01/2020;0;0;1;2020
Bosnia and Herzegovina;22/01/2020;0;0;1;2020
Brazil;22/01/2020;0;0;1;2020
Brunei;22/01/2020;0;0;1;2020
Bulgaria;22/01/2020;0;0;1;2020
Burkina Faso;22/01/2020;0;0;1;2020
Cabo Verde;22/01/2020;0;0;1;2020
Cambodia;22/01/2020;0;0;1;2020
Cameroon;22/01/2020;0;0;1;2020
Canada;22/01/2020;0;0;1;2020
Canada;22/01/2020;0;0;1;2020
Canada;22/01/2020;0;0;1;2020
Canada;22/01/2020;0;0;1;2020
Canada;22/01/2020;0;0;1;2020
Canada;22/01/2020;0;0;1;2020
Canada;22/01/2020;0;0;1;2020
Canada;22/01/2020;0;0;1;2020
Canada;22/01/2020;0;0;1;2020
Canada;22/01/2020;0;0;1;2020
Central African Republic;22/01/2020;0;0;1;2020
Chad;22/01/2020;0;0;1;2020
Chile;22/01/2020;0;0;1;2020
China;22/01/2020;1;0;1;2020
China;22/01/2020;14;0;1;2020
China;22/01/2020;6;0;1;2020
China;22/01/2020;1;0;1;2020
China;22/01/2020;0;0;1;2020
China;22/01/2020;26;0;1;2020
China;22/01/2020;2;0;1;2020
China;22/01/2020;1;0;1;2020
China;22/01/2020;4;0;1;2020
China;22/01/2020;1;0;1;2020
China;22/01/2020;0;0;1;2020
China;22/01/2020;5;0;1;2020
China;22/01/2020;0;0;1;2020
China;22/01/2020;444;28;1;2020
China;22/01/2020;4;0;1;2020
China;22/01/2020;0;0;1;2020
China;22/01/2020;1;0;1;2020
